Summary Number,Gemma,Qwen,Bart
1,0.296,0.296,0.296
2,1.6835,1.4879,1.2806
3,0.7096,0.1298,0.5859
4,0.2732,0.2732,0
5,0.1922,0.2853,0.3041
6,0.6486,0.8858,0.6486
7,0.764,0.8368,0.3869
8,0.0538,1.1618,0.0538
9,1.6868,1.7008,1.5001
10,0.0112,1.2287,0.9853
11,0.878,0.8024,0.8069
12,0.7369,0.8937,0.768
13,0.0601,0.7325,0.347
14,0.2732,0.0324,0
15,0.2023,0.6908,0.0772
16,1.4566,1.5871,1.0528
17,0.2263,0.1655,0.3182
18,0.6599,0.1683,0.585
19,1.2404,0.0416,0.7283
20,0.4443,0.6448,0.424
21,0.265,1.3831,0.8516
22,1.2318,1.265,0.6582
23,0.5106,0.8811,0.4404
24,1.4614,1.4614,1.6461
25,0.325,0.325,0.325
26,0.8588,0.9916,0.7964
27,0.2732,0.0362,0.2732
28,0.2614,0.5124,0.1059
29,0.0911,0.0911,0.128
30,1.2654,,
,0.5195,,
